"","chr","start","end","Total.400","Total.1k","400-43252","400-AHA-1","400-CEH-32","400-CEH-38","400-CES-1","400-DAF-16","400-DPL-1","400-DUXL-1","400-DVE-1","400-F10B5.3","400-F37D6.2","400-F49E8.2","400-FKH-10","400-HLH-30","400-LIN-13","400-LIN-15B","400-LIN-39","400-LIR-3","400-LSY-2","400-MDL-1","400-MEP-1","400-NHR-102","400-NHR-11","400-NHR-237","400-NHR-25","400-NHR-28","400-NHR-48","400-NHR-6","400-NHR-76","400-NHR-77","400-PHA-4","400-RBR-2","400-SNPC-4","400-SPR-1","400-UNC-130","400-ZAG-1","400-ZFP-2","400-ZIP-2","400-ZK546.5","400-ZTF-7","400-NHR-10","400-PQM-1","400-C05D10.1","400-CEY-2","400-FOS-1","400-R02D3.7","400-UNC-62","400-F45C12.2","400-SKN-1","400-ZTF-11","400-EGL-27","400-NHR-116","400-UNC-39","400-R06F6.6","1k-43252","1k-AHA-1","1k-CEH-32","1k-CEH-38","1k-CES-1","1k-DAF-16","1k-DPL-1","1k-DUXL-1","1k-DVE-1","1k-F10B5.3","1k-F37D6.2","1k-F49E8.2","1k-FKH-10","1k-HLH-30","1k-LIN-13","1k-LIN-15B","1k-LIN-39","1k-LIR-3","1k-LSY-2","1k-MDL-1","1k-MEP-1","1k-NHR-102","1k-NHR-11","1k-NHR-237","1k-NHR-25","1k-NHR-28","1k-NHR-48","1k-NHR-6","1k-NHR-76","1k-NHR-77","1k-PHA-4","1k-RBR-2","1k-SNPC-4","1k-SPR-1","1k-UNC-130","1k-ZAG-1","1k-ZFP-2","1k-ZIP-2","1k-ZK546.5","1k-ZTF-7","1k-NHR-10","1k-PQM-1","1k-C05D10.1","1k-CEY-2","1k-FOS-1","1k-R02D3.7","1k-UNC-62","1k-F45C12.2","1k-SKN-1","1k-ZTF-11","1k-EGL-27","1k-NHR-116","1k-UNC-39","1k-R06F6.6"
"11","chrI",2639550,2639994,47,51,1,1,1,NA,1,3,2,1,1,1,2,1,1,1,1,1,NA,1,2,1,2,2,1,1,1,1,1,1,1,1,NA,2,1,1,1,NA,1,1,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,1,1,NA,1,3,2,1,1,1,2,1,1,1,1,2,NA,1,2,1,2,2,1,1,1,1,2,1,1,1,NA,2,1,2,1,NA,2,1,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
"12","chrI",2929514,2929958,21,21,NA,NA,NA,NA,NA,3,1,1,1,NA,1,1,NA,NA,1,NA,NA,1,1,NA,1,1,NA,NA,NA,NA,1,1,NA,1,NA,1,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1,NA,1,1,NA,NA,1,NA,NA,1,1,NA,1,1,NA,NA,NA,NA,1,1,NA,1,NA,1,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","chrI",2945589,2946033,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","chrI",3636474,3636918,8,8,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","chrI",3681861,3682305,18,18,1,1,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,1,NA,NA,1,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,1,NA,NA,1,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"16","chrI",4172023,4172467,88,88,2,1,2,1,1,5,2,2,2,2,2,2,2,2,1,1,1,1,4,3,2,2,2,1,2,2,2,1,1,2,1,2,1,2,2,2,2,1,1,2,1,1,1,1,1,1,4,1,NA,1,2,1,1,NA,2,1,2,1,1,5,2,2,2,2,2,2,2,2,1,1,1,1,4,3,2,2,2,1,2,2,2,1,1,2,1,2,1,2,2,2,2,1,1,2,1,1,1,1,1,1,4,1,NA,1,2,1,1,NA
"17","chrI",4172226,4172670,62,88,1,NA,1,1,1,5,1,2,2,2,2,2,1,1,1,1,1,1,3,1,2,2,1,1,1,1,2,NA,1,1,1,2,NA,2,1,1,1,1,1,1,1,NA,1,1,1,1,2,NA,NA,NA,1,1,NA,NA,2,1,2,1,1,5,2,2,2,2,2,2,2,2,1,1,1,1,4,3,2,2,2,1,2,2,2,1,1,2,1,2,1,2,2,2,2,1,1,2,1,1,1,1,1,1,4,1,NA,1,2,1,1,NA
"18","chrI",4178382,4178826,26,26,1,NA,NA,NA,1,1,1,1,1,NA,1,1,1,1,NA,NA,NA,NA,1,1,1,1,1,NA,NA,1,1,1,NA,1,NA,1,1,1,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,1,1,NA,1,1,1,1,NA,NA,NA,NA,1,1,1,1,1,NA,NA,1,1,1,NA,1,NA,1,1,1,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"19","chrI",4701126,4701570,41,45,1,1,1,1,NA,3,1,1,2,1,1,NA,1,1,1,NA,NA,1,2,2,2,1,1,1,1,2,1,1,NA,1,1,1,NA,1,NA,NA,1,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,4,1,1,2,1,1,NA,1,1,1,NA,NA,1,2,2,2,1,1,1,1,2,2,1,NA,2,1,1,NA,1,NA,NA,1,NA,NA,1,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
"20","chrI",4769467,4769911,18,20,NA,NA,NA,NA,NA,2,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,3,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","chrI",5312862,5313306,34,46,1,NA,NA,NA,NA,2,1,NA,1,1,2,NA,NA,1,1,NA,1,NA,3,3,1,1,1,NA,1,NA,1,NA,NA,NA,NA,2,NA,1,1,1,1,NA,NA,NA,1,1,1,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,3,2,1,1,1,2,NA,1,1,1,NA,1,NA,3,3,1,1,1,NA,1,2,2,1,NA,1,1,2,NA,2,1,1,1,NA,NA,NA,1,1,1,1,NA,NA,2,NA,NA,1,NA,NA,NA,NA
"22","chrI",5316188,5316632,41,49,1,NA,1,NA,NA,4,1,1,1,1,2,NA,1,1,2,NA,NA,1,3,2,2,1,1,1,NA,1,1,NA,NA,1,NA,2,1,1,NA,1,1,NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,NA,NA,1,NA,NA,NA,1,NA,1,1,NA,4,1,1,1,1,2,NA,2,1,2,NA,NA,1,3,3,2,1,1,1,2,1,1,1,NA,1,NA,2,1,1,NA,1,1,1,NA,NA,NA,1,NA,1,NA,NA,2,NA,NA,NA,2,NA,NA,NA
"23","chrI",5379712,5380156,26,26,1,NA,1,NA,1,2,1,NA,1,NA,1,NA,1,1,1,NA,NA,NA,2,1,1,1,1,NA,1,1,1,NA,NA,NA,1,1,NA,1,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,2,1,NA,1,NA,1,NA,1,1,1,NA,NA,NA,2,1,1,1,1,NA,1,1,1,NA,NA,NA,1,1,NA,1,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","chrI",5698878,5699322,25,25,1,1,NA,NA,1,1,1,NA,1,NA,1,NA,1,1,1,NA,NA,NA,2,2,1,NA,1,NA,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,1,NA,1,NA,1,NA,1,1,1,NA,NA,NA,2,2,1,NA,1,NA,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"25","chrI",5706800,5707244,36,36,1,NA,1,NA,1,3,1,1,1,1,1,1,NA,1,1,1,NA,1,1,1,1,1,NA,NA,1,1,1,NA,NA,1,NA,1,NA,1,1,NA,1,1,1,1,NA,1,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,1,3,1,1,1,1,1,1,NA,1,1,1,NA,1,1,1,1,1,NA,NA,1,1,1,NA,NA,1,NA,1,NA,1,1,NA,1,1,1,1,NA,1,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA
"26","chrI",6163977,6164421,26,26,NA,NA,NA,NA,NA,4,1,1,1,1,1,1,NA,1,1,NA,NA,1,1,1,1,1,NA,NA,1,1,1,1,NA,NA,NA,1,NA,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,1,1,1,1,NA,1,1,NA,NA,1,1,1,1,1,NA,NA,1,1,1,1,NA,NA,NA,1,NA,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","chrI",6317700,6318144,20,20,NA,NA,NA,NA,NA,2,1,NA,1,NA,1,NA,1,NA,1,NA,NA,NA,2,NA,1,1,1,NA,1,1,NA,1,NA,1,NA,1,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,1,NA,1,NA,1,NA,1,NA,NA,NA,2,NA,1,1,1,NA,1,1,NA,1,NA,1,NA,1,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","chrI",6564400,6564844,40,40,1,1,NA,NA,1,3,1,1,1,1,1,1,1,1,1,1,NA,1,2,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,NA,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,3,1,1,1,1,1,1,1,1,1,1,NA,1,2,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,NA,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"29","chrI",6569273,6569717,10,12,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,1,NA,1,NA,NA,1,1,NA,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","chrI",6781587,6782031,33,33,1,NA,NA,NA,NA,4,1,1,1,1,1,1,NA,1,1,NA,NA,1,1,1,1,1,1,NA,1,1,1,1,NA,1,NA,2,NA,1,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,4,1,1,1,1,1,1,NA,1,1,NA,NA,1,1,1,1,1,1,NA,1,1,1,1,NA,1,NA,2,NA,1,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA
"31","chrI",7021167,7021611,34,34,1,NA,NA,1,NA,3,1,1,1,1,1,NA,1,1,1,NA,NA,NA,2,2,1,1,1,NA,1,1,1,1,1,1,NA,1,NA,1,NA,NA,1,1,NA,1,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,3,1,1,1,1,1,NA,1,1,1,NA,NA,NA,2,2,1,1,1,NA,1,1,1,1,1,1,NA,1,NA,1,NA,NA,1,1,NA,1,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA
"32","chrI",7079391,7079835,45,52,1,NA,NA,NA,NA,2,2,1,1,1,NA,1,NA,1,1,NA,1,1,3,1,2,2,1,1,1,1,2,1,1,NA,1,2,NA,2,1,NA,1,1,1,1,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,1,1,NA,1,NA,NA,3,2,1,1,1,1,1,NA,1,1,NA,1,1,3,1,2,2,1,1,1,1,2,1,1,1,1,2,NA,2,1,NA,1,1,1,1,2,NA,NA,1,1,1,2,NA,NA,NA,NA,1,NA,1
"33","chrI",7082156,7082600,26,27,NA,1,NA,NA,NA,NA,1,NA,1,NA,1,NA,1,1,1,NA,NA,NA,3,1,2,NA,1,NA,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,1,NA,1,NA,1,1,1,NA,NA,NA,3,1,2,NA,1,NA,1,1,1,1,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,1
"34","chrI",7475102,7475546,51,57,1,1,1,1,1,5,1,1,1,1,2,NA,1,1,1,NA,NA,1,2,2,2,2,1,1,1,1,2,1,1,1,NA,2,NA,1,1,1,1,1,1,1,1,NA,NA,NA,1,NA,2,NA,NA,NA,NA,1,NA,NA,1,1,1,1,1,5,1,1,1,1,2,NA,1,1,1,NA,NA,1,2,2,2,2,2,1,1,2,2,2,1,1,2,2,NA,1,1,1,1,1,1,1,1,1,NA,NA,1,NA,2,NA,NA,NA,NA,1,NA,NA
"35","chrI",7490130,7490574,25,25,1,NA,NA,NA,NA,2,1,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,2,2,1,1,1,NA,1,1,1,1,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,1,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,2,2,1,1,1,NA,1,1,1,1,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"36","chrI",7500272,7500716,47,48,1,1,1,1,1,4,1,1,1,1,1,NA,1,2,1,NA,NA,1,2,3,1,1,2,NA,1,2,1,2,NA,1,NA,2,NA,1,1,1,1,1,1,NA,1,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,1,1,1,1,4,1,1,1,1,1,NA,1,2,1,NA,NA,1,2,3,1,1,2,NA,1,2,2,2,NA,1,NA,2,NA,1,1,1,1,1,1,NA,1,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA
"37","chrI",7581731,7582175,12,12,NA,1,NA,NA,NA,2,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","chrI",7595666,7596110,15,39,1,NA,NA,1,NA,2,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,4,1,1,1,NA,1,NA,1,1,1,NA,NA,NA,2,2,2,2,1,NA,1,1,2,1,1,1,1,1,NA,1,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"39","chrI",7659961,7660405,14,14,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,NA,1,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,NA,1,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"40","chrI",7872135,7872579,27,32,NA,NA,NA,NA,NA,4,1,1,1,NA,1,NA,NA,1,NA,1,NA,1,1,NA,1,NA,NA,1,1,1,1,1,1,NA,NA,1,NA,2,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4,1,1,1,NA,1,NA,NA,1,NA,1,NA,1,1,1,1,2,NA,1,1,1,1,1,1,1,NA,1,NA,2,1,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"41","chrI",8259329,8259773,32,32,NA,1,1,NA,NA,3,1,1,1,1,1,1,NA,1,1,NA,NA,1,1,NA,1,1,1,NA,NA,1,1,1,NA,1,NA,1,NA,1,1,NA,1,1,NA,1,NA,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,3,1,1,1,1,1,1,NA,1,1,NA,NA,1,1,NA,1,1,1,NA,NA,1,1,1,NA,1,NA,1,NA,1,1,NA,1,1,NA,1,NA,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA
